"site","date_time","discharge_m3_s","discharge_flag"
"RUS","2022-06-24 19:00:00",1.387475,"N"
"SFE-M","2022-06-29 11:30:00",2.92878,"N"
"RUS","2022-07-06 12:30:00",1.564975,"N"
"SFE-M","2022-07-14 11:00:00",2.303825,"N"
"RUS","2022-07-20 11:00:00",1.2558,"N"
"SFE-M","2022-07-28 12:00:00",1.17671775,"N"
"RUS","2022-08-02 11:30:00",1.6389225,"N"
"SFE-M","2022-08-10 12:00:00",1.0620172,"N"
"RUS","2022-08-17 11:00:00",1.3185775,"N"
"SFE-M","2022-08-23 11:30:00",0.5379044,"N"
"RUS","2022-09-01 13:00:00",1.52138535,"N"
"SFE-M","2022-09-06 12:00:00",0.52364505,"N"
"RUS","2022-09-15 12:00:00",1.79067825,"N"
"SFE-M","2022-09-17 11:30:00",0.5701796,"N"
"SFE-SH","2023-07-09 14:00:00",1.6654143,"Y"
"SFE-SH","2023-07-26 11:30:00",1.237867325,"Y"
"SFE-SH","2023-08-03 12:30:00",0.6024045,"Y"
"SFE-SH","2023-08-09 11:00:00",0.5567515,"Y"
"SFE-SH","2023-08-24 09:15:00",0.4779415,"Y"
"SFE-SH","2023-08-24 10:30:00",0.647168125,"Y"
